184 Event 238037, Run 922, Split 2: Ecm = 3.27, Z = 216.77: D
185 Event 253577, Run 894, Split 2: Ecm = 3.28, Z = 219.54: D
186 Event 208019, Run 879, Split 7: Ecm = 3.28, Z = 176.82: D
187 Event 1680764, Run 901, Split 18: Ecm = 3.28, Z = 225.52: D
188 Event 202485, Run 908, Split 19: Ecm = 3.28, Z = 190.24: D
189 Event 409139, Run 884, Split 34: Ecm = 3.29, Z = 182.45: A
190 Event 226770, Run 893, Split 24: Ecm = 3.29, Z = 223.95: A
191 Event 1201429, Run 899, Split 10: Ecm = 3.29, Z = 209.21: A
192 Event 1761262, Run 902, Split 4: Ecm = 3.29, Z = 258.30: D
193 Event 54777, Run 918, Split 5: Ecm = 3.30, Z = 195.74: E
194 Event 76652, Run 921, Split 6: Ecm = 3.30, Z = 212.65: E
195 Event 228708, Run 879, Split 9: Ecm = 3.30, Z = 240.61: D
196 Event 1210894, Run 899, Split 11: Ecm = 3.31, Z = 189.82: E
197 Event 683025, Run 913, Split 0: Ecm = 3.31, Z = 232.33: A
198 Event 698933, Run 889, Split 9: Ecm = 3.32, Z = 191.75: D
199 Event 1211028, Run 899, Split 11: Ecm = 3.33, Z = 234.33: E
200 Event 717550, Run 896, Split 14: Ecm = 3.33, Z = 190.92: D
201 Event 898280, Run 897, Split 16: Ecm = 3.33, Z = 184.11: E
202 Event 948127, Run 898, Split 3: Ecm = 3.33, Z = 211.30: E
203 Event 1144314, Run 926, Split 16: Ecm = 3.34, Z = 251.12: E
204 Event 1339572, Run 900, Split 4: Ecm = 3.34, Z = 183.45: E
205 Event 1094946, Run 914, Split 16: Ecm = 3.34, Z = 206.83: E
206 Event 792573, Run 897, Split 5: Ecm = 3.35, Z = 224.63: A
207 Event 1302073, Run 915, Split 14: Ecm = 3.35, Z = 248.53: E
208 Event 1893890, Run 902, Split 17: Ecm = 3.36, Z = 182.57: E
209 Event 494272, Run 886, Split 2: Ecm = 3.36, Z = 196.42: E
