185 Event 827462, Run 662, Split 23: Ecm = 1.84, Z = 244.93: D
186 Event 127969, Run 778, Split 26: Ecm = 1.84, Z = 343.87: B
187 Event 646624, Run 674, Split 52: Ecm = 1.85, Z = 302.84: D
188 Event 304745, Run 709, Split 62: Ecm = 1.85, Z = 287.14: D
189 Event 368387, Run 778, Split 77: Ecm = 1.85, Z = 262.93: E
190 Event 193721, Run 801, Split 40: Ecm = 1.85, Z = 299.29: A
191 Event 3117908, Run 947, Split 3: Ecm = 1.85, Z = 251.58: A
192 Event 201679, Run 833, Split 16: Ecm = 1.86, Z = 270.01: F
193 Event 588516, Run 794, Split 29: Ecm = 1.86, Z = 291.11: C
194 Event 2068793, Run 816, Split 49: Ecm = 1.87, Z = 256.50: F
195 Event 3208901, Run 947, Split 18: Ecm = 1.88, Z = 300.28: B
196 Event 230829, Run 733, Split 37: Ecm = 1.88, Z = 336.79: E
197 Event 1444353, Run 753, Split 21: Ecm = 1.88, Z = 265.28: A
198 Event 1763332, Run 665, Split 56: Ecm = 1.88, Z = 304.86: B
199 Event 2271998, Run 942, Split 5: Ecm = 1.89, Z = 263.45: F
200 Event 1871665, Run 754, Split 17: Ecm = 1.89, Z = 256.32: E
201 Event 75251, Run 709, Split 15: Ecm = 1.89, Z = 275.15: C
202 Event 1053622, Run 752, Split 43: Ecm = 1.89, Z = 301.81: E
203 Event 140278, Run 672, Split 28: Ecm = 1.90, Z = 319.66: B
204 Event 3872934, Run 827, Split 53: Ecm = 1.90, Z = 289.09: B
205 Event 170180, Run 685, Split 34: Ecm = 1.90, Z = 266.76: B
206 Event 1724018, Run 772, Split 63: Ecm = 1.91, Z = 322.81: E
207 Event 2841448, Run 824, Split 71: Ecm = 1.91, Z = 258.19: D
208 Event 1570029, Run 677, Split 12: Ecm = 1.91, Z = 270.55: F
209 Event 47259, Run 759, Split 5: Ecm = 1.91, Z = 256.62: A
210 Event 946950, Run 707, Split 4: Ecm = 1.91, Z = 255.95: A
211 Event 2488803, Run 943, Split 14: Ecm = 1.91, Z = 239.00: B
